1.	Smith	729 862
2.	Jones	578 261
3.	Taylor	458 268
4.	Williams	411 385
5.	Brown	380 443
6.	Davies	316 982
7.	Evans	231 844
8.	Wilson	227 652
9.	Thomas	220 228
10.	Roberts	219 694
11.	Johnson	214 969
12.	Lewis	198 193
13.	Walker	195 372
14.	Robinson	187 889
15.	Wood	186 261
16.	Thompson	183 266
17.	White	181 979
18.	Watson	181 296
19.	Jackson	173 538
20.	Wright	171 438
21.	Green	166 423
22.	Harris	161 505
23.	Cooper	161 076
24.	King	160 918
25.	Lee	159 502
26.	Martin	152 842
27.	Clarke	152 502
28.	James	151 855
29.	Morgan	150 454
30.	Hughes	147 802
31.	Edwards	147 540
32.	Hill	145 723
33.	Moore	144 446
34.	Clark	140 662
35.	Harrison	137 103
36.	Scott	134 059
37.	Young	131 862
38.	Morris	131 499
39.	Hall	129 805
40.	Ward	125 643
41.	Turner	125 278
42.	Carter	124 343
43.	Phillips	121 845
44.	Mitchell	121 734
45.	Patel	119 855
46.	Adams	116 035
47.	Campbell	115 972
48.	Anderson	115 333
49.	Allen	112 703
50.	Cook	111 306
51.	Bailey	111 011
52.	Parker	109 943
53.	Miller	109 474
54.	Davis	108 041
55.	Murphy	106 245
56.	Price	105 993
57.	Bell	105 417
58.	Baker	104 639
59.	Griffiths	104 048
60.	Kelly	102 415
61.	Simpson	101 082
62.	Marshall	97 225
63.	Collins	95 210
64.	Bennett	94 402
65.	Cox	92 572
66.	Richardson	92 558
67.	Fox	92 124
68.	Gray	90 917
69.	Rose	89 001
70.	Chapman	88 136
71.	Hunt	86 792
72.	Robertson	86 269
73.	Shaw	86 049
74.	Reynolds	85 228
75.	Lloyd	85 021
76.	Ellis	84 914
77.	Richards	83 575
78.	Russell	82 898
79.	Wilkinson	82 570
80.	Khan	80 429
81.	Graham	80 026
82.	Stewart	79 031
83.	Reid	78 783
84.	Murray	77 127
85.	Powell	76 973
86.	Palmer	75 969
87.	Holmes	75 423
88.	Rogers	74 821
